[2024-08-19 23:24:27,198: INFO: common: created directory at: artifacts]
[2024-08-19 23:24:27,199: INFO: common: created directory at: artifacts\training]
[2024-08-19 23:28:32,754: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 23:28:32,756: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 23:28:32,758: INFO: common: created directory at: artifacts]
[2024-08-19 23:28:32,758: INFO: common: created directory at: artifacts\training]
[2024-08-19 23:38:56,914: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 23:38:56,914: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 23:38:56,914: INFO: common: created directory at: artifacts]
[2024-08-19 23:38:56,914: INFO: common: created directory at: artifacts\training]
[2024-08-19 23:42:02,007: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 23:42:02,011: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 23:42:02,013: INFO: common: created directory at: artifacts]
[2024-08-19 23:42:02,014: INFO: common: created directory at: artifacts\training]
[2024-08-19 23:45:45,564: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 23:45:45,574: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 23:45:45,576: INFO: common: created directory at: artifacts]
[2024-08-19 23:45:45,578: INFO: common: created directory at: artifacts\training]
[2024-08-20 05:21:32,938: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 05:21:32,944: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 05:21:32,944: INFO: common: created directory at: artifacts]
[2024-08-20 05:21:32,950: INFO: common: created directory at: artifacts\training]
[2024-08-20 05:27:38,704: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 05:27:38,710: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 05:27:38,713: INFO: common: created directory at: artifacts]
[2024-08-20 05:27:38,713: INFO: common: created directory at: artifacts\training]
[2024-08-20 05:37:34,941: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 05:37:34,944: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 05:37:34,945: INFO: common: created directory at: artifacts]
[2024-08-20 05:37:34,945: INFO: common: created directory at: artifacts\training]
